Eikon;EDT;pánská;dřevitá;skořice ceylonská;pepř černý;dřevo cedrové;dřevo oud;semišový akord;pačuli;vanilka;tonkové semeno;;;;;;;;;
Embrance Him;EDT;pánská;bylinná;kardamom;skořice;levandule;badyán;jasmín;pomeranč;pižmo;jantar;santalové dřevo;tonkové semeno;vanilka; vřes vetiver;;;;;
Excite;EDT;pánská;svěží;bergamot;pelyněk;meloun;ozonový akord;estragon;čajové tóny;pižmo;mech;cedrové dřevo;;;;;;;;
Espionage;EDT;pánská;možská;šalvěj;mořský vánek;ambra;;;;;;;;;;;;;;
Flamboyant;EDT;pánská;citrusová;citron;bergamot;pomeranč;grapefruit;limetka;kardamom;černý pepř;pryskyřice elemi;muškátový oříšek;krystalové pižmo;mech;cedrové dřevo;santalové dřevo;;;;
Flamboyant Privé;EDT;pánská;mořská;mandarinka;bergamot;vodní ovoce;calone (mořský akord);slaný akord;pelargonie;mix dřevin;vřes vetiver;dubový mech;;;;;;;;
Free Attitude;EDT;pánská;ovocná;grapefruit;bergamot;zelené jablko;levandule;leknín;listy pelargónie;pižmo;pačuli;cedrové dřevo;santalové dřevo;mech;;;;;;
Free Motion;EDT;pánská;bylinná;italský citron ;máta peprná;máta vodní;pryskyřice elemi;levandule;lékořice;pelargonie;pižmo;pačuli;santalové dřevo;;;;;;;
Frey;EDT;unisex;orientální;citron;grapefruit;pomeranč;kardamom;majoránka;červený tymián;dřevité pižmo;;;;;;;;;;
Fuse;EDT;pánská;citrusová;mandarinka;citrusy;zázvor;grapefruit;cypřiš;vavřín;cashmeran;dřeva cedrové;pižmo;vřes vetiver;santalové dřevo;tonkové semeno;;;;;
Giordani Gold Essenza Man Elixir;Parfém;pánská;kouřová;černý rybíz;citron;černý pepř;elemi;olibanum;mech;vetiver;pačuli;jantarové dřeviny;;;;;;;;
Giordani Man;EDP;pánská;citrusová;mandarinka;bergamot;pomeranč;citron;černý pepř;kardamom;mořský akord;jasmín;absinth;pižmo;vřes vetiver;santalové dřevo;ambra;;;;
Giordani Man Dolce Vita;EDP;pánská;orientální;muškátový oříšek;bergamot;citrusy;pelargonie;šalvěj;bourbon (alkohol);vanilka;pačuli;guajakové dřevo;santalové dřevo;;;;;;;
Glacier;EDT;pánská;mořská;mentol;bergamot;citrusy;vodní meloun;levandule;pelargonie;květ pomeranče;bílé růže;pižmo;tabák;santalové dřevo;;;;;;
Glacier Athletic;EDT;pánská;ovocná;citron;bergamot;pomeranč;ananas;kardamom;pelyněk;pižmo;pačuli;cedrové dřevo;tonkové semeno;dřevo santalové; guajakové; jantar;;;;
Glacier Ice;EDT;pánská;ovocná;mandarinka;bergamot;jablko;citronová tráva;jahličí cypřišů;břečťan;pižmo;guajakové dřevo;cedrové dřevo;;;;;;;;
ID Beats;Kolínská;pánská;ovocná;zázvor;kokosové ořechy;cedrové dřevo;;;;;;;;;;;;;;
ID Energy;Kolínská;pánská;citrusová;citrus yuzu;zázvor;okurky;;;;;;;;;;;;;;
Infinite Rush;EDT;pánská;zemitá;citron;bergamot;Granny Smith jablko;dřeviny;mořský akord;levandule;kůže;pačuli;mech;;;;;;;;
Intense Embrance Him;EDT;pánská;kořeněná;kardamom;skořice;muškátový oříšek;grapefruit;zelené jablko;květ pomeranče;růže;ambra;světlé dřeviny;santalové dřevo;tonkové semeno;karamely; vanilka;;;;
Midsummer Him;EDT;pánská;svěží;citron;pomeranč;levandule;kardamom;pelyněk;pačuli;santalové dřevo;;;;;;;;;;
Midsummer Man;EDT;pánská;mořská;mandarinka;zelená hruška;mořský akord;hřebíček;koriandr;ambrox;kašmíran;tonkové semeno;cedrové dřevo;;;;;;;;
Native Force;EDT;pánská;kořeněná;kardamom;grapefruit;svěží zelené tóny;kafrová limetka;hořký pomeranč;muškátový oříšek;šalvěj muškátová;levandule;ambra;virginský cedr;dřevo Palo Santo;;;;;;
Nomadic Him;EDT;pánská;orientální;čínský zázvorový olej;rozmarýn;citrusy;císt krétský;cypřišový olej;pižmo;pačuli;olej z hřebíčku;;;;;;;;;
Platinum;EDT;pánská;kořeněná;lístky fialek;černý pepř;kardamom;muškátový oříšek;pačuli;cedrové dřevo;vanilka;pižmo;vřes vetiver;jantarové dřevo;kůže;;;;;;
Rebel;EDT;pánská;dřevitá;mandarinka;bergamot;rozmarýn;grapefruit;máta; pelyněk;cypřiš; bazalka;muškátový oříšek;nové koření; vavřín;růže;cedrové dřevo;santalové dřevo;;;
Rival;EDT;pánská;citrusová;akord vu-hong;mandarinková kůra;zimní citron;listy fialek;pelargónie;badyán;černá káva;pačuli;ambra;;;;;;;;
S8;EDT;pánská;ovocná;mandarinka;černý pepř;kardamom;grapefruit;hruška;levandule;fialka;mořské tóny;pižmo;pačuli;santalové dřevo;tonkové semeno;;;;;
S8 Night;EDT;pánská;bylinná;grapefruit;bergamot;bazalka;lékořice;cedrové dřevo;semišový akord;pralinky;tabák;;;;;;;;;
Signature;EDT;pánská;dřevitá;pepř;nektarinka;hruška;muškátový oříšek;guajakové dřevo;cedrové dřevo;pižmo;vřes vetiver;vanilka;jantar;;;;;;;
Signature Heritage;EDT;pánská;orientální;šalvěj;bergamot;paprika;pelargonie;vonné tyčinky;káva;kosatec;cedrové dřevo;tonkové semeno;;;;;;;;
Solliden Him;EDP;pánská;dřevitá;mandarinka;bergamot;pomeranč;muškátový oříšek;levandule;myrta;bílé pižmo;dřevité tóny;dřevo gaiac;;;;;;;;
Soul;EDT;pánská;svěží;grapefruit;bergamot;bazalka;lesní plody;hřebíčková silice;koriandr;jedle;tymián;rozmarýn;ambra;pačuli;santalové dřevo;;;;;
Together Him;EDT;pánská;svěží;olej citronový;olej mandarinkový;olej pomerančový;kardamom;levandule;jalovec;pižmo;dřevité tóny;santalové dřevo;;;;;;;;
True Instinct;EDT;pánská;mořská;vodní meloun;mořské akordy;zelené jablko;zázvor;muškátový oříšek;pelargonie;mech;cedrové dřevo;tonkové semeno;;;;;;;;
Tycoon;EDT;pánská;citrusová;citron;mořské tóny;hořký pomeranč;šalvěj;slunečný vánek;cedrové dřevo;pomerančové květy;kůže;vřes vetiver;černá ambra;;;;;;;
Urban Lovers him;EDT;pánská;kouřová;plody mučenky;grapefruit;ananas;muškátový oříšek;květy pomeranče;cedrové dřevo;pižmo;ambra;tabák;;;;;;;;
Volume;EDT;pánská;ovocná;kdoule;bergamot;švestka;hřebíček;cukrová třtina;peruánský balzám;pižmo;pačuli;muškátový oříšek;;;;;;;;
Voyager;EDT;pánská;citrusová;mandarinka;bergamot;citrusy;kardamom;zelený čaj;Myrha z Namíbie;ambra;vřes vetiver;santalové dřevo;;;;;;;;
